Experiment 1		run: 1		seed: 316
(4,5)	-0.9176456999999998	0	-0.9596463929999997	0.5620580999999998
(5,1)	-0.9861587127989999	-0.9176456999999998	0	0
(5,2)	-0.9596463929999997	-0.9596463929999997	-0.9423519899999997	0
(5,3)	-0.7793272107	-0.5073640909089661	-0.9717524750999997	0
(5,4)	-0.9596463929999997	2.147186029194599	-0.8823509999999999	0
(5,5)	-0.7459351107	0	-0.2891480194369801	0


x = 1
		N	E	W	S
(1,1)	0	-0.9176456999999998	0	-0.8319300000000001
(1,2)	0	-0.8823509999999999	-0.7599	-0.657
(1,3)	0	-0.51	-0.657	-0.51
(1,4)	0	-0.657	0	-0.446184771
(1,5)	0	0	-0.3	0.08669999999999997
(2,1)	-0.7599	-0.657	0	-0.657
(2,2)	-0.657	-0.7599	-0.657	-0.51
(2,3)	-0.3	-0.3	-0.657	-0.51
(2,4)	-0.51	1.1696987699999997	0	-0.51
(2,5)	0	0	-0.5048073504	-0.2836606092
(3,1)	-0.51	-0.657	0	-0.6524099999999999
(3,2)	-0.657	-0.7599	-0.7599	-0.7599
(3,3)	-0.3	-0.8319300000000001	-0.9176456999999998	-0.5629832030999999
(3,4)	-0.29541	-0.2578179	-0.657	-0.657
(3,5)	1.7892421769999993	0	-0.3	-0.657
(4,1)	-0.3	-0.3	0	0.50439
(4,2)	-0.657	-0.339852036849	-0.3	-0.3051644659800001
(4,3)	-0.657	-0.7599	-0.51	1.9967311467299993
(4,4)	0	-0.7599	-0.5353601176233	-0.3739776016230001
(4,5)	-0.6406517114999999	0	-0.51	-0.7599
(5,1)	0	0	0	0
(5,2)	-0.3	1.4746542389999997	0.08669999999999997	0
(5,3)	-0.41192485000260004	-0.43119999732900016	-0.52536937377	0
(5,4)	-0.7599	-0.3	1.9231558151099994	0
(5,5)	-0.8319300000000001	0	-0.6894827007	0


step :	900
x = 0
		N	E	W	S
(1,1)	0	0	0	0
(1,2)	0	-0.51	0.29669999999999996	-0.8319300000000001
(1,3)	0	-0.7599	-0.9176456999999998	-0.564280496720049
(1,4)	0	-0.9423519899999997	-0.9802267325699998	-0.657
(1,5)	0	0	-0.9596463929999997	-0.9176456999999998
(2,1)	0.839256	-0.9423519899999997	0	-0.657
(2,2)	-0.3	-0.5498987690725171	-0.9255460625699997	-0.40014639080408715
(2,3)	-0.9423519899999997	-0.9176456999999998	-0.9861587127989999	2.0250593788439994
(2,4)	-0.9596463929999997	-0.9176456999999998	-0.544221263680938	-0.49939754098527
(2,5)	-0.9176456999999998	0	-0.9932177692715098	-0.8823509999999999
(3,1)	-0.7599	-0.5201922799391401	0	-0.9176456999999998
(3,2)	-0.7599	2.1342966835827295	-0.7599	-0.9802267325699998
(3,3)	-0.40799227822548007	-0.49548040815580563	-0.3678418379277594	-0.503494553943
(3,4)	-0.9176456999999998	-0.8823509999999999	1.9460620754099995	-0.8823509999999999
(3,5)	-0.9423519899999997	0	-0.34617193995600004	-0.8917667609999997
(4,1)	-0.9717524750999997	-0.9423519899999997	0	-0.9176456999999998
(4,2)	-0.4337587835444752	-0.558187168426689	-0.8823509999999999	-0.9596463929999997
(4,3)	1.7056160672999994	-0.9423519899999997	-0.9423519899999997	-0.8319300000000001
(4,4)	-0.565775230989	-0.8823509999999999	-0.51083691340527	-0.4162212681234218
(4,5)	-0.9176456999999998	0	-0.9596463929999997	0.5620580999999998
(5,1)	-0.9861587127989999	-0.9176456999999998	0	0
(5,2)	-0.9596463929999997	-0.9596463929999997	-0.9423519899999997	0
(5,3)	-0.7793272107	-0.5073640909089661	-0.9717524750999997	0
(5,4)	-0.9596463929999997	2.147186029194599	-0.8823509999999999	0
(5,5)	-0.7459351107	0	-0.2891480194369801	0


x = 1
		N	E	W	S
(1,1)	0	-0.9596463929999997	0	-0.8823509999999999
(1,2)	0	-0.9176456999999998	-0.8823509999999999	-0.8319300000000001
(1,3)	0	-0.657	-0.8319300000000001	-0.8319300000000001
(1,4)	0	-0.752097	-0.3	-0.4611881757248191
(1,5)	0	0	-0.7599	0.08669999999999997
(2,1)	-0.7599	-0.7599	0	-0.657
(2,2)	-0.7599	-0.8823509999999999	-0.657	-0.51
(2,3)	-0.8319300000000001	-0.3411725174601	-0.657	-0.8319300000000001
(2,4)	-0.7599	1.8758609171099994	0	-0.8319300000000001
(2,5)	-0.4967349	0	-0.5190718937700001	-0.2836606092
(3,1)	-0.51	-0.657	0	-0.6524099999999999
(3,2)	-0.657	-0.7599	-0.7599	-0.7599
(3,3)	-0.7599	-0.9176456999999998	-0.9176456999999998	-0.43318697950598195
(3,4)	-0.42645237243300005	-0.31944073407000007	-0.8319300000000001	-0.9176456999999998
(3,5)	1.7892421769999993	0	-0.51	-0.657
(4,1)	-0.3	-0.3	0	0.50439
(4,2)	-0.657	-0.339852036849	-0.3	-0.3051644659800001
(4,3)	-0.9176456999999998	-0.8319300000000001	-0.51	2.1231070318976992
(4,4)	-0.657	-0.8319300000000001	-0.46013610414743705	-0.3739776016230001
(4,5)	-0.6406517114999999	0	-0.657	-0.7599
(5,1)	0	0	0	0
(5,2)	-0.3	1.4746542389999997	0.08669999999999997	0
(5,3)	-0.40195110375783005	-0.43119999732900016	-0.52536937377	0
(5,4)	-0.7599	-0.3	1.9231558151099994	0
(5,5)	-0.8319300000000001	0	-0.6894827007	0


step :	1000
x = 0
		N	E	W	S
(1,1)	0	0	0	0
(1,2)	0	-0.51	0.29669999999999996	-0.8319300000000001
(1,3)	0	-0.7599	-0.9176456999999998	-0.564280496720049
(1,4)	0	-0.9423519899999997	-0.9802267325699998	-0.657
(1,5)	0	0	-0.9596463929999997	-0.9176456999999998
(2,1)	0.839256	-0.9423519899999997	0	-0.657
(2,2)	-0.3	-0.5498987690725171	-0.9255460625699997	-0.40014639080408715
(2,3)	-0.9423519899999997	-0.9176456999999998	-0.9861587127989999	2.0250593788439994
(2,4)	-0.9596463929999997	-0.9176456999999998	-0.544221263680938	-0.49939754098527
(2,5)	-0.9176456999999998	0	-0.9932177692715098	-0.8823509999999999
(3,1)	-0.7599	-0.5201922799391401	0	-0.9176456999999998
(3,2)	-0.7599	2.1342966835827295	-0.7599	-0.9802267325699998
(3,3)	-0.40799227822548007	-0.49548040815580563	-0.3678418379277594	-0.503494553943
(3,4)	-0.9176456999999998	-0.8823509999999999	1.9460620754099995	-0.8823509999999999
(3,5)	-0.9423519899999997	0	-0.34617193995600004	-0.8917667609999997
(4,1)	-0.9717524750999997	-0.9423519899999997	0	-0.9176456999999998
(4,2)	-0.4337587835444752	-0.558187168426689	-0.8823509999999999	-0.9596463929999997
(4,3)	1.7056160672999994	-0.9423519899999997	-0.9423519899999997	-0.8319300000000001
(4,4)	-0.565775230989	-0.8823509999999999	-0.51083691340527	-0.4162212681234218
(4,5)	-0.9176456999999998	0	-0.9596463929999997	0.5620580999999998
(5,1)	-0.9861587127989999	-0.9176456999999998	0	0
(5,2)	-0.9596463929999997	-0.9596463929999997	-0.9423519899999997	0
(5,3)	-0.7793272107	-0.5073640909089661	-0.9717524750999997	0
(5,4)	-0.9596463929999997	2.147186029194599	-0.8823509999999999	0
(5,5)	-0.7459351107	0	-0.2891480194369801	0


x = 1
		N	E	W	S
(1,1)	0	-0.9596463929999997	0	-0.8823509999999999
(1,2)	0	-0.9176456999999998	-0.8823509999999999	-0.8319300000000001
(1,3)	0	-0.8823509999999999	-0.8319300000000001	-0.8319300000000001
(1,4)	0	-0.8070011009999999	-0.7599	-0.45400424046747345
(1,5)	0	0	-0.7599	1.1871917699999996
(2,1)	-0.7599	-0.7599	0	-0.657
(2,2)	-0.7599	-0.9176456999999998	-0.657	-0.51
(2,3)	-0.8823509999999999	-0.373246040032968	-0.657	-0.8823509999999999
(2,4)	-0.9176456999999998	2.0638806193838994	-0.3	-0.8823509999999999
(2,5)	-0.4967349	0	-0.43166500607618774	-0.3747117427157888
